Name	Alpha	Mobility	mass	eps_ionic	eps_static	volume
mp-753946	0.1902459386993312	457.5376558126866	1.0093	18.652155564908067	22.39644264320661	54.7774435571
mp-754117	1.5636939825397207	30.77568405621762	0.7161	3.693391308516545	13.200275650185299	89.9604691377
mp-754118	1.6543572065346963	45.4374232302751	0.676	3.5293387595533114	10.12899356395518	112.073362812
mp-754212	4.314573404541593	36.633811018448455	0.8064	3.5465067980682714	11.306266396340558	429.630142441
mp-754326	0.9618153487603285	61.724434103373156	0.8583	5.214706257706064	8.521094017624764	52.0355466874
mp-754363	1.9886188081106004	37.568044940735135	0.7149	4.4223547076452485	30.401020816564177	114.693292058
mp-754368	1.4144473032010716	77.03654327073782	0.6581	4.702857966865972	14.653589870757088	121.312448369
mp-754517	2.7457814572162023	54.407948489081186	0.8126	3.8411494962259156	7.944297742215563	374.406728583
mp-754535	1.6060824458412604	38.922133991114855	0.8827	4.9280813225394	11.607536075162509	151.17443186
mp-7547	0.7099040059447301	1383.3676154750735	0.4497	7.7247857303698355	12.065391449685503	191.79639678
mp-754710	2.922665163738573	52.77307007869758	0.8141	3.789246306440025	7.892246589570043	386.42618124
